"Stem","Joke","Literal"
"My church welcomes all denominations but prefers","twenties",Mormons"
"My doctor has never violated his oath: the oath he took years ago to become a","millionaire",practitioner"
"My husband took the money we were saving to buy a new car and blew it all at the","laundry",tables"
"My mechanic couldn't fix my brakes, so he fixed my","horn",clutch"
"My wife did natural childbirth: no","makeup",anesthetic"
"Nature has three ways of thinning the herd: drought, famine, and","primaries",hunting"
"No patient should leave the hospital until he's strong enough to face the","cashier",outside"
"Nothing ages a woman faster than","identification",hardship"
"Nothing in the known universe travels faster than","gossip",radiation"
"Nothing you put in a banana split is as potentially fattening as the","spoon",syrup"
"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their","nuptials",careers"
"Once a week they hold a bingo game, and all the proceeds go to fight","gambling",disease"
"One good turn gets most of the","blanket",profit"
"One good way to invest in the country is to buy a","senator",business"
"One person who sure makes a long story short is my","editor",aunt"
"One thing that makes the world go round is","detours",greed"
"One way to keep pornography away from teenagers is to put it in a","textbook",cabinet"
"Our son brought home a note from school saying they need a written excuse for his","presence",tardiness"
"Parents support clubs for teenagers, especially when they lack other forms of","punishment",diversion"
"Politicians who are as American as apple pie still want their","slice",rewards"
"Save the whales; start a","collection",coalition"
"She always told girls not to look for a husband but just to date","bachelors",someone"
"She asked what state he was born in, and he said in the","nude",East"
"She is so modest, she pulls down the shade to change her,","mind",jacket"
"She puts something behind her ears to attract men; lately she's been using her","ankles",vanilla"
"She read so much about the bad effects of cigarettes she decided to give up the","reading",habit"
"She told him he looked like a million, and she meant every","century",syllable"
"She went on a fourteen day diet, but she only lost two","weeks",ounces"
"She's happy because she finally has a boyfriend who gets along with her","fianc_",father"
"Some babies are born to rule, while others are","male",weak"
"Some husbands are good providers, but only if you count","children",salary"
"Some people think courtship is the first in a series of steps leading to","divorce",romance"
"Some people's only culture is","bacteria",radio"
"Statistics indicate that Americans spend eighty million a year on games of chance,","mostly",weddings", blackjack
"Sunday is the day we bow our heads and","putt",rest"
"The art museum just acquired an early Rembrandt; it's done in","Crayola",charcoal"
"The best bargain I ever got was when I went to a family garage sale and bought a","grandma",toaster"
"The best gift for the man who has everything is","penicillin",neckties"
"The best way to keep the milk from turning sour is to keep it in the","cow",cold"
"The best way to remove coffee stains from a white blouse is with","scissors",detergent"
"The best way to stop an elephant from charging is to cut off its","credit",toes"
"The book that tells you where you can go on vacation is called a","checkbook",guidebook"
"The convict told his cellmate how he'd blown all the money he stole on wine, women, and","lawyers",crack"
"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the","bathtub",admission"
"The curse of heavy drinking is that afterwards you get a","huge",bar"","tab",headache"
"The difference between a dog and fox is about five","beers",degrees"
"The difference between a good speaker and a bad one is often a nice","nap",diction"
"The first two hundred story building opened in Chicago; it was a","library",hotel"
"The husband who catches his wife in the act is probably on the","trapeze",snoop"
"The last time a guy in a mask took all my money I was in","surgery",shock"
"The most prevalent form of legalized gambling is","elections",betting"
"The new tax forms are more realistic: where your wife signs, it says","accomplice",partner"
"The only crop that is grown in America and harvested abroad is the American","tourist",tobacco"
"The only fishing through the ice that some men ever do is for the","olive",trout"
"The only ones who want me for my body are","mosquitos",losers"
"The only person who sticks closer to you in adversity than a friend is a","creditor",spouse"
"The only place where you can find people who spend all their time minding their own business is the","cemetery",bank"
"The only thing money can't buy is","poverty",generosity"
"The only time my father ever raised a hand to his children was in ,self-","defense",discipline"
"The penalty for dishonesty is the disgrace of dying","rich",unloved"
"The perfect companion to a vegetarian dinner is a","steak",salad"
"The show had one act that was really offbeat: the","singer",clowns"
"The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little","finding",sightseeing"
"The wind was so strong it blew out three","fuses",streetlights"
"The woman who has her husband eating out of her hand must save a lot of","dishwashing",heartbreak"
"They redecorated the bar with new","drunks",wood"
"This fall two things are turning yellow: trees and","investors",bushes"
"This house comes with lots of extras, mostly","termites",upgrades"
"This new computer works so quickly, it comes complete with","ulcers",games"
"Though most people think it's Rome, the world's most beloved capital is actually","dollars",Vienna"
"To clothe one soldier, it takes the wool from two sheep and the hides from three","taxpayers",animals"
"To get something done, a committee should consist of no more than three people, two of whom are","dead",workers"
"Too many girls believe that the chief foundation for true love is a large","stone",fortune"
"Two things are essential for success: wealth and","money",fame"
"We live in a lovely suburb; it's just two miles beyond our","income",town"
"When an irresistible force meets an immovable object, you get two very angry","women",entities"
"When I asked how long he should cook the noodles, I said at least ten","inches",seconds"
"When I asked the bartender for something cold and full of rum, he recommended his","wife",daiquiri"
"When I found out how much my wife spent on dresses last year, I dumped her and proposed to the","dressmaker",mistress"
"When it comes to keeping warm, nothing beats a thermal","brunette",parka"
"When John bought a bulldog, it was no time at all before he had that dog eating out of his","leg",fingers"
"When reviewing your notes for a test, the most important ones will be","illegible",capitalized"
"When the kid came into the store and asked for empty boxes, the owner gave him the","register",crate"
"When we got divorced, my wife and I split the house; she got the","inside",kitchen"
"When we watch a sexy movie, my wife leans over and breathes on my","glasses",collar"
"When you own an ice cream business, your favorite flavor is","aspirin",everything"
"Where I'm from, the two most common elements are hydrogen and","stupidity",nitrogen"
"Women don't dress to please men; if they did, they'd dress a lot","faster",scantier"
"You can keep your kids in hot water with","dishes",rules"
